id,name_cn,rank,total,total_score,prob_score,simp_score,conf_score
1753,圣斗士星矢 THE LOST CANVAS 冥王神话,1301,713,40374,1597.0594,2920,8115.631
1925,死神剧场版 无人的回忆,4255,601,-79418,-416.7462,-852,-6108.9804
1926,圣枪修女,991,1020,86626,2100.6569,3621,12677.5299
1924,死神剧场版 钻石星尘的反叛 另一个冰轮丸,5388,697,-149598,-1286.2862,-2230,-12967.7792
1757,公主恋人！,6376,1507,-349193,-1936.2343,-3428,-23004.4693
1758,青之花,1170,1139,135507,2915.0658,5265,18485.4468
1759,交响诗篇 彩虹满载,3101,747,-29333,883.1716,1576,1900.8281
1760,夏娃的时间,425,2449,424294,4353.5491,6651,37801.5111
1761,元素猎人,6204,85,-25374,-1281.5026,-1930,-5549.4793
1763,创圣的大天使,5183,756,-121765,-853.0498,-1667,-9568.7088
1764,浪漫追星社,2568,708,-23043,509.2985,756,611.0333
1772,狂乱家族日记,3571,330,-45885,-647.2172,-1286,-5109.4924
1773,死亡笔记,54,13095,2046585,5732.678,7536,88032.0896
1774,2077日本锁国,5048,391,-74126,-1091.1899,-1913,-8343.1807
1868,灼眼的夏娜 恋爱和温泉校外学习,3829,1190,-159274,-353.4327,-771,-8433.4949
1779,死刑判决,3246,571,-31148,132.9387,278,-1431.4716
1780,骷髅13,1671,152,17554,1110.1396,1899,4430.3869
1788,FLAG,1525,216,31874,1533.6153,3167,6881.2982
1789,AIKa ZERO,6622,264,-100559,-2099.3434,-3663,-13717.3302
1790,AIKa R-16:处女任务,6701,320,-108624,-1968.1006,-3389,-13773.573
1804,心跳回忆Only Love,4056,426,-51626,-500.7325,-1009,-4997.1419
1805,铳墓,438,855,205602,3999.5479,6139,26117.2964
1822,加奈日记,3444,932,-77534,1.1349,21,-3705.621
1836,空中杀手,518,1901,273004,3848.1659,6350,28944.7476
1838,死神的歌谣,3786,524,-45091,197.9156,367,-1934.7319
1839,仰望半月的夜空,2503,1084,-2313,1064.3094,1663,4393.9809
1841,秘密 ～The Revelation～,3790,165,-15288,-320.1048,-617,-2179.0779
1842,我叫MT 第一季,1743,672,-6367,610.0338,1105,1776.5795
1848,读或死 OVA,1044,960,149904,3375.767,5370,21090.8138
1849,KERORO军曹,1031,1188,79908,2257.4175,3880,13002.7548
1850,读或死 TV,1916,790,36530,1880.9027,3281,9141.3062
1851,天使的心跳！,835,14427,754867,2820.2919,4861,39874.5182
1852,拜托了双子星,3012,555,-18908,547.4371,1055,849.2781
1856,十二国记,103,3043,535754,5135.4999,7187,45070.5755
1860,机动战士高达SEED,1231,3380,188291,2626.3582,4392,20575.9751
1861,机动战士高达SEED DESTINY,5501,2536,-283684,-756.9943,-1443,-13718.1449
1862,灼眼的夏娜 剧场版,3759,1408,-153106,-32.6776,-175,-6464.7096
1867,海贼王 打倒海贼强萨克！,3831,240,-48621,-835.0049,-1465,-6166.0924
1869,海贼王 黄金岛大冒险,3468,449,-58052,-265.2893,-355,-4598.1543
1870,旋风管家 泳装篇,3641,779,-103819,-369.9007,-865,-6553.1893
1871,海贼王 发条岛的冒险,3338,435,-41786,69.4984,128,-2517.8963
1877,校园迷糊大王 一学期补习,651,1079,167643,3188.8888,5055,21180.8279
1878,校园迷糊大王 二学期,351,2078,378852,4173.828,6436,34712.5826
1879,校园迷糊大王 三学期,1348,1098,101574,2469.8013,4388,15216.976
1880,零之使魔,2591,5366,-99673,1269.1606,2093,6556.0792
2063,初音岛,3266,1163,-80517,189.5443,297,-2724.2496
1890,最终幻想VII：降临之子,581,3120,300229,3695.6177,5833,29783.8095
1891,少女革命剧场版 思春期默示录,106,1722,443766,5177.5,7078,41721.0272
1894,勇者王GaoGaiGar,512,386,64480,2271.1543,4015,11547.3774
2079,漫画同人会 Revolution,4430,112,-25360,-937.787,-1762,-4676.8319
1897,四叶游戏,226,1029,0,0.0,0,0.0
1898,苍之茧,1092,998,132300,3153.432,5023,19414.5241
1899,真月谭月姬,6445,1592,-323361,-1518.1929,-2903,-19892.0251
1901,海贼王 珍兽岛之乔巴王国,3331,415,-50040,-242.1865,-352,-4087.1288
1904,海贼王  死亡尽头的冒险,2424,434,4594,1155.9832,2082,4062.0464
1905,夏日大作战,325,8792,1061599,4481.9031,6883,58463.154
1906,暗与帽子与书之旅人,3429,683,-37841,457.6956,712,-494.3525
1912,七武士,1994,395,-335,800.0517,1305,2543.6065
1920,玻璃舰队,5702,69,-16170,-807.3174,-1409,-3540.7959
1922,蓝色恐惧,16,6300,0,0.0,0,0.0
1923,红辣椒,48,7721,0,0.0,0,0.0
1927,罗密欧与朱丽叶,3757,421,0,0.0,0,0.0
1930,新撰组异闻录 铁,1704,652,-18681,243.218,444,-204.6089
1931,最终兵器彼女,1470,1544,84199,2156.1182,4019,13458.4989
1932,夕阳染红的街道 Hardcore,5967,645,-177540,-1855.8798,-3122,-16314.4946
1933,青之6号,2095,559,28479,1613.7767,2788,7506.2797
