id,name_cn,rank,total
1963,SA特优生,5807,1512
1964,英国恋物语艾玛,1298,255
1965,英国恋物语艾玛 第二幕,1460,173
1966,交响情人梦 巴黎篇,491,1448
1967,英雄时代,2232,590
1969,奔向地球,720,371
1970,吸血鬼骑士,5642,1654
1971,吸血鬼骑士 Guilty,5302,1272
1972,魔神英雄传,900,1614
1973,魔神英雄传2,1035,797
1974,超魔神英雄传,1631,796
1975,女神异闻录 -圣洁之魂-,4046,549
1976,精灵守护者,263,1437
1977,向北,3723,89
1978,天使怪盗,2780,911
1979,十二生肖守护神,1431,471
1980,伯爵与妖精,5338,659
1981,蓝宝石之谜,406,1221
1982,圣魔之血,2209,904
1983,狼雨,967,749
1984,老人与海,169,745
1985,金色琴弦～primo passo～,3992,572
1986,兽王星,4012,335
1987,完美小姐进化论,5168,610
1989,诗片,4168,356
1990,海贼王 被诅咒的圣剑,3426,467
1991,海贼王 祭典男爵与神秘岛,2066,595
1995,海贼王 机关城的机械巨兵,3328,485
1996,.hack//根源,6217,271
1997,.hack//时空,3136,411
1999,海贼王 沙漠的王女与海贼们,2071,585
2000,海贼王 绽放在寒冬的奇迹樱花,1416,666
2001,.hack//黄昏腕轮传说,5008,353
2010,彩云国物语,3126,947
2042,橙路,1284,302
2045,麻辣教师GTO,283,1437
2046,王立宇宙军 欧尼亚米斯之翼,340,1381
2047,OTAKU的录像带,1372,522
2049,他和她的故事,711,1343
2051,家庭教师HITMAN REBORN!,1063,2745
2059,斗牌传说,487,1603
2060,樱花大战,3341,491
2062,侍魂2〜阿修罗斩魔传〜,3773,54
2063,初音岛,3254,1164
2074,逮捕令,768,938
2076,逮捕令 第二季,1598,374
2077,漫画同人会,4963,126
2078,逮捕令 全速前进,3069,318
2079,漫画同人会 Revolution,4428,112
2080,剧场版 我的女神,1423,358
2082,甜蜜声优,4085,367
2083,双面骑士,995,451
2084,BLOOD 最后的吸血鬼,1643,947
2086,人狼,145,1815
2087,毁灭世界的六人,5939,630
2088,苍天航路,2737,145
2089,恶作剧之吻,3511,510
2090,黑血兄弟,4508,228
2091,四圣兽 ~光阴叙事诗天使谭~,6709,102
2092,废弃公主,1570,813
2093,天国少女,5235,176
2094,秀逗魔导士,414,1297
2095,秀逗魔导士NEXT,346,999
2096,秀逗魔导士NEXT,346,999
2097,秀逗魔导士TRY,601,666
2098,源氏物语千年纪,5809,355
2103,龙珠改,745,984
2107,次强音,2259,792
2108,重金属摇滚双面人,477,766
2120,青出于蓝～缘～,2706,367
